,Manufacturer,Basic technology,Specified technology,Addition,y_1 = m_1x + n,m_1,n,R_1²,y_2 = m_2x,m_2,R_2²,Size database,Data pairs,Datetime
0,all_brands,Air_conditioner,-,-,y=-95.285+331.717*x,331.717,-95.285,0.876,y=311.415*x,311.415,0.8724,8,2.93;860.9/3.2;748.9/3.2;1175.0/3.81;989.8/4.0;1239.0/4.2;1595.0/5.57;1625.0/7.2;2319.0,2022-09-13
1,all_brands,Flow_heater,-,electricity,y=135.421+5.713*x,5.713,135.421,0.4252,y=12.822*x,12.822,-0.4528,36,3.5;153.3/3.5;93.1/3.5;94.8/3.5;168.8/4.4;103.7/4.4;102.6/4.5;170.9/5.7;108.4/5.7;106.9/5.7;174.5/6.0;170.9/6.5;155.6/6.5;174.5/10.7;260.9/12.0;318.9/13.0;264.9/13.2;379.8/13.5;212.1/13.5;243.2/15.0;379.8/18.0;240.9/18.0;260.9/18.0;236.1/18.0;234.3/21.0;240.9/21.0;260.9/21.0;236.1/21.0;234.3/24.0;240.9/24.0;260.9/24.0;236.1/24.0;234.3/27.0;240.9/27.0;292.9/27.0;290.9/27.0;234.3,2022-08-02
2,all_brands,Flow_heater,-,gas,y=438.129+22.962*x,22.962,438.129,0.9978,y=44.434*x,44.434,0.1106,3,17.4;834.9/19.2;882.9/23.6;978.9,2022-08-02
3,all_brands,Gas_heating,boiler,-,y=1877.679+49.620*x,49.62,1877.679,0.6768,y=97.260*x,97.26,-0.0585,25,13.0;3045.0/15.0;2489.0/15.0;3235.0/18.0;2085.0/19.0;3219.0/22.0;2669.0/22.0;3479.0/22.0;2889.0/25.0;2355.0/26.0;3749.0/28.0;3105.0/30.0;2895.0/30.0;3725.0/35.0;4059.0/35.0;2998.0/36.0;3735.0/40.0;3239.0/40.0;3935.0/45.0;4609.0/47.0;4109.0/48.0;3375.0/50.0;3809.0/50.0;4639.0/60.0;5409.0/65.0;5569.0,2021-12-30
4,all_brands,Gas_heating,boiler,-,y=2091.451+51.739*x,51.739,2091.451,0.6171,y=104.803*x,104.803,-0.148,25,13.0;3369.0/15.0;2565.0/15.0;3565.0/18.0;2398.0/19.0;3565.0/22.0;2755.0/22.0;3775.0/22.0;3125.0/25.0;2715.0/26.0;4149.0/28.0;3295.0/30.0;2985.0/30.0;4069.0/35.0;3235.0/35.0;4499.0/36.0;3915.0/40.0;3339.0/40.0;4379.0/45.0;5109.0/47.0;4349.0/48.0;3559.0/50.0;3929.0/50.0;5049.0/60.0;5989.0/65.0;5859.0,2022-07-22
5,all_brands,Gas_heating,therme,-,y=1472.413+38.118*x,38.118,1472.413,0.836,y=62.502*x,62.502,0.3203,49,10.0;2055.0/10.0;1849.0/10.0;1335.0/11.0;2319.0/14.0;1875.0/14.0;2098.0/14.0;1379.0/14.0;1695.0/15.0;2825.0/15.0;2125.0/18.0;2095.0/19.0;3239.0/19.0;2605.0/20.0;1949.0/20.0;2498.0/20.0;1895.0/20.0;1745.0/24.0;1979.0/24.0;2249.0/24.0;1795.0/25.0;3015.0/25.0;2269.0/25.0;2665.0/26.0;2075.0/30.0;2739.0/30.0;2365.0/32.0;2935.0/35.0;2835.0/38.0;2445.0/40.0;3449.0/40.0;2725.0/42.0;3269.0/42.0;3519.0/47.0;2955.0/49.0;3535.0/50.0;3779.0/50.0;3749.0/55.0;2995.0/60.0;3945.0/63.0;3289.0/70.0;4339.0/75.0;3725.0/80.0;3929.0/80.0;5189.0/99.0;6649.0/100.0;6079.0/100.0;4809.0/100.0;4489.0/120.0;5609.0,2022-01-10
6,all_brands,Gas_heating,therme,-,y=1487.682+42.937*x,42.937,1487.682,0.8243,y=67.575*x,67.575,0.4152,49,10.0;2295.0/10.0;1735.0/10.0;1129.0/11.0;2569.0/14.0;1865.0/14.0;2175.0/14.0;1559.0/14.0;1689.0/15.0;2839.0/15.0;2155.0/18.0;2349.0/19.0;3269.0/19.0;2885.0/20.0;1935.0/20.0;3145.0/20.0;2189.0/20.0;1739.0/24.0;1969.0/24.0;2085.0/24.0;1775.0/25.0;3039.0/25.0;2298.0/25.0;2949.0/26.0;2298.0/30.0;3005.0/30.0;2409.0/32.0;3245.0/35.0;2925.0/38.0;2535.0/40.0;3625.0/40.0;3159.0/42.0;3369.0/42.0;3805.0/47.0;3389.0/49.0;3915.0/50.0;3898.0/50.0;3929.0/55.0;3225.0/60.0;4359.0/63.0;3755.0/70.0;4479.0/75.0;4009.0/80.0;4429.0/80.0;5749.0/99.0;7359.0/100.0;6669.0/100.0;5419.0/100.0;4259.0/120.0;6329.0,2022-07-27
7,all_brands,Heat_pumps,air-water,-,y=3405.938+530.311*x,530.311,3405.938,0.5228,y=957.294*x,957.294,0.1456,12,4.0;5579.0/4.0;5969.0/5.0;5079.0/5.0;4679.0/6.0;6429.0/6.0;7559.0/7.0;9189.0/9.0;7179.0/9.0;7479.0/10.0;7929.0/10.0;11229.0/11.0;8179.0,2022-07-25
8,all_brands,Heat_pumps,brine-water,-,y=4677.383+362.011*x,362.011,4677.383,0.9499,y=473.803*x,473.803,0.7932,38,11.0;6619.0/11.0;6498.0/11.0;10219.0/11.0;6569.0/12.0;9009.0/12.0;7549.0/13.0;7509.0/13.0;7579.0/14.0;11239.0/17.0;8539.0/18.0;8989.0/18.0;8898.0/18.0;11259.0/21.0;15989.0/21.0;13559.0/25.0;15349.0/28.0;18039.0/29.0;15989.0/33.0;17479.0/36.0;20109.0/41.0;19929.0/43.0;19719.0/47.0;22319.0/54.0;25079.0/6.0;6449.0/6.0;6369.0/6.0;8189.0/6.0;9019.0/6.0;6209.0/63.0;27679.0/71.0;30259.0/78.0;32829.0/78.0;29759.0/8.0;6498.0/8.0;6669.0/8.0;9699.0/9.0;10459.0/9.0;6309.0,2022-07-25
9,all_brands,Home_station,-,HT,y=913.598+5.680*x,5.68,913.598,0.9333,y=25.179*x,25.179,-10.3496,3,37.0;1115.0/45.0;1185.0/55.0;1219.0,2022-08-17
