comp_name,comp_type,model,min_size,max_size,current_size,heat_pump,therm_cns,water_tes,pv,solar_coll,bat,e_grid,gas_grid,boi,e_boi,e_cns
heat_pump,HeatPump,all_brands-Heat_pumps-air-water,0,100,0,0,0,1,0,0,0,0,0,0,0,0
therm_cns,HeatConsumption,HeatCNS1,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0
water_tes,HotWaterStorage,all_brands-Storage_technology-buffer_storage-0_Heat_exchanger,0,2000,0,0,1,0,0,0,0,0,0,0,0,0
pv,PV,PV1,0,100,0,1,0,0,0,0,1,1,0,0,1,1
solar_coll,SolarThermalCollector,all_brands-Solar_technology-flat-plate_collectors,0,100,0,0,0,1,0,0,0,0,0,0,0,0
bat,Battery,BAT1,0,100,0,1,0,0,0,0,0,1,0,0,1,1
e_grid,ElectricityGrid,GRD1,0,100,0,1,0,0,0,0,1,0,0,0,1,1
gas_grid,GasGrid,GAS1,0,100,0,0,0,0,0,0,0,0,0,1,0,0
boi,GasBoiler,all_brands-Gas_heating-boiler,0,100,0,0,0,1,0,0,0,0,0,0,0,0
e_boi,ElectricBoiler,all_brands-Flow_heater-electricity,0,100,0,0,0,1,0,0,0,0,0,0,0,0
e_cns,ElectricalConsumption,CNS1,0,100,0,0,0,0,0,0,0,0,0,0,0,0
