comp_name,comp_type,model,min_size,max_size,current_size,therm_cns,water_tes,gas_grid,e_grid,tp_val_therm,e_cns,hw_cns,tp_val_hw,solar_coll,e_boi,e_meter,heat_ex,bat,pv,heat_pump,boi_s
therm_cns,HeatConsumptionFluid,HeatCNS60,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_tes,HomoStorage,TES_homo_60,0,40,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0
gas_grid,GasGrid,GAS1,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
e_grid,ElectricityGrid,GRD1,0,100000,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,0
tp_val_therm,ThreePortValve,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e_cns,ElectricalConsumption,CNS1,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hw_cns,HotWaterConsumptionFluid,HWCNS,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tp_val_hw,ThreePortValve,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
solar_coll,SolarThermalCollectorFluid,FPC,0,500,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0
e_boi,ThroughHeaterElec,BOI3,0,200000,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
e_meter,ElectricityMeter,EM,0,100000,0,0,0,0,0,0,,0,0,0,,0,0,,0,,0
heat_ex,HeatExchangerFluid_Solar,HE1,0,100000,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bat,Battery,BAT_district,0,100000,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,0
pv,PV,PV_nwg,0,500,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0
heat_pump,HeatPumpFluid,EHP_district,0,100000,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boi_s,StandardBoiler,BOI_800,0,100000,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
