comp_name,comp_type,model,min_size,max_size,current_size,heat_pump,therm_cns,water_tes,pv,solar_coll,bat,e_grid,gas_grid,boi,e_boi,e_cns,chp
heat_pump,HeatPump,EHP_district,0,100000,0,0,1,1,0,0,0,0,0,0,0,0,0
therm_cns,HeatConsumption,HeatCNS1,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0
water_tes,HotWaterStorage,TES_district,0,46000,0,0,1,0,0,0,0,0,0,0,0,0,0
pv,PV,PV_district,0,1000000,0,1,0,0,0,0,1,1,0,0,1,1,0
solar_coll,SolarThermalCollector,ST_district,0,100000,0,0,1,1,0,0,0,0,0,0,0,0,0
bat,Battery,BAT_district,0,10000,0,1,0,0,0,0,0,1,0,0,1,1,0
e_grid,ElectricityGrid,GRD1,0,1000000,0,1,0,0,0,0,1,0,0,0,1,1,0
gas_grid,GasGrid,GAS1,0,1000000,0,0,0,0,0,0,0,0,0,1,0,0,1
boi,GasBoiler,BOI_district,0,100000,0,0,1,1,0,0,0,0,0,0,0,0,0
e_boi,ElectricBoiler,EB_district,0,100000,0,0,1,1,0,0,0,0,0,0,0,0,0
e_cns,ElectricalConsumption,CNS1,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0
chp,CHP,CHP_district,0,100000,0,0,1,1,0,0,0,0,0,0,0,0,0
