Koordinatensystem : Lambert konform konisch
Rechtswert        : 3786500 Meter
Hochwert          : 2716500 Meter
Hoehenlage        : 43 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3786500 2716500  1  1  1   1.1 1019 175  0.8 8  3.9  94    0    0 295 -285  0
3786500 2716500  1  1  2   1.1 1019 183  1.0 7  3.9  94    0    0 292 -282  0
3786500 2716500  1  1  3   1.2 1018 190  1.5 7  3.9  94    0    0 287 -279  0
3786500 2716500  1  1  4   1.4 1018 197  2.4 6  3.9  94    0    0 283 -282  0
3786500 2716500  1  1  5   1.5 1018 201  2.2 8  4.0  94    0    0 285 -289  0
3786500 2716500  1  1  6   1.6 1017 200  2.0 8  4.0  94    0    0 293 -293  0
3786500 2716500  1  1  7   1.9 1017 216  2.0 8  4.0  93    0    0 294 -295  0
3786500 2716500  1  1  8   2.2 1016 211  2.1 8  4.1  93    0    0 296 -298  0
3786500 2716500  1  1  9   2.2 1016 205  2.2 7  4.2  94    0    0 294 -300  0
3786500 2716500  1  1 10   2.4 1016 221  2.0 7  4.2  93    0   19 291 -303  0
3786500 2716500  1  1 11   2.5 1016 252  2.1 8  4.2  93    0   33 297 -305  0
3786500 2716500  1  1 12   2.6 1016 264  2.1 7  4.2  93    0   47 299 -309  0
3786500 2716500  1  1 13   2.9 1016 264  2.6 7  4.3  93    0   48 293 -312  0
3786500 2716500  1  1 14   2.9 1015 277  2.4 7  4.3  93    0   42 293 -315  0
3786500 2716500  1  1 15   3.0 1015 271  2.8 7  4.4  93    0   39 292 -318  0
3786500 2716500  1  1 16   2.9 1015 300  2.5 8  4.3  93    0   23 298 -318  0
3786500 2716500  1  1 17   2.7 1015 298  1.6 8  4.3  93    0    0 305 -318  0
3786500 2716500  1  1 18   2.5 1016 303  1.6 7  4.2  93    0    0 299 -318  0
3786500 2716500  1  1 19   2.3 1016 327  1.7 6  4.1  92    0    0 286 -317  0
3786500 2716500  1  1 20   0.6 1016 276  1.5 6  3.9  92    0    0 277 -314  0
3786500 2716500  1  1 21   0.7 1016 302  1.5 6  3.7  94    0    0 274 -309  0
3786500 2716500  1  1 22  -0.2 1017 302  1.2 4  3.7  95    0    0 260 -303  0
3786500 2716500  1  1 23   0.2 1017 311  1.3 3  3.6  94    0    0 241 -296  0
3786500 2716500  1  1 24  -1.9 1017 329  0.8 3  3.3  92    0    0 232 -291  0
3786500 2716500  1  2  1  -2.2 1016 283  0.7 4  3.0  92    0    0 234 -286  0
3786500 2716500  1  2  2  -2.6 1016 280  0.9 5  3.0  94    0    0 244 -282  0
3786500 2716500  1  2  3  -1.8 1016 266  1.0 6  3.0  94    0    0 254 -281  0
3786500 2716500  1  2  4  -2.2 1016 258  0.7 7  3.1  94    0    0 264 -282  0
3786500 2716500  1  2  5  -2.4 1016 253  0.9 7  3.0  94    0    0 267 -284  0
3786500 2716500  1  2  6  -1.9 1016 245  1.3 6  3.0  94    0    0 260 -287  0
3786500 2716500  1  2  7  -1.8 1017 255  1.4 5  3.1  95    0    0 250 -289  0
3786500 2716500  1  2  8  -1.4 1017 233  1.6 6  3.2  95    0    0 251 -291  0
3786500 2716500  1  2  9  -0.7 1018 264  1.5 7  3.3  94    0    2 261 -294  0
3786500 2716500  1  2 10  -0.8 1018 228  1.2 7  3.3  94    1   31 266 -297  0
3786500 2716500  1  2 11   0.1 1019 256  1.4 7  3.4  93    0   48 266 -299  0
3786500 2716500  1  2 12   0.7 1019 259  1.5 6  3.6  93    3   77 264 -302  0
3786500 2716500  1  2 13   1.7 1019 271  1.9 5  3.7  91   21   99 258 -307  0
3786500 2716500  1  2 14   1.8 1019 260  2.0 5  3.8  89   25   89 255 -310  0
3786500 2716500  1  2 15   2.4 1019 276  2.3 4  3.8  87   57   54 252 -310  0
3786500 2716500  1  2 16   2.3 1019 272  2.0 4  3.8  85    0   24 250 -307  0
3786500 2716500  1  2 17   1.6 1019 262  1.5 6  3.7  86    0    0 259 -301  0
3786500 2716500  1  2 18   1.3 1019 266  1.4 7  3.7  88    0    0 271 -297  0
3786500 2716500  1  2 19   1.4 1019 284  2.1 7  3.7  89    0    0 275 -293  0
3786500 2716500  1  2 20   1.5 1019 286  1.5 7  3.7  88    0    0 274 -293  0
3786500 2716500  1  2 21   1.3 1019 275  1.3 7  3.7  88    0    0 272 -297  0
3786500 2716500  1  2 22   1.2 1020 284  1.3 6  3.6  88    0    0 265 -300  0
3786500 2716500  1  2 23   1.0 1020 286  1.5 7  3.6  88    0    0 265 -300  0
3786500 2716500  1  2 24   0.9 1020 261  1.3 7  3.6  89    0    0 269 -300  0
3786500 2716500  1  3  1   0.5 1020 269  1.9 6  3.5  89    0    0 263 -300  0
3786500 2716500  1  3  2   0.6 1020 270  2.0 6  3.5  89    0    0 257 -300  0
3786500 2716500  1  3  3   0.3 1020 270  2.2 7  3.5  90    0    0 260 -298  0
3786500 2716500  1  3  4  -0.1 1020 274  2.1 6  3.4  91    0    0 259 -297  0
3786500 2716500  1  3  5  -2.0 1019 271  1.6 6  3.2  92    0    0 249 -295  0
3786500 2716500  1  3  6  -2.5 1019 234  1.3 6  3.0  93    0    0 244 -293  0
3786500 2716500  1  3  7  -1.9 1019 228  1.8 6  3.0  93    0    0 243 -292  0
3786500 2716500  1  3  8  -0.9 1018 242  1.3 7  3.2  94    0    0 249 -292  0
3786500 2716500  1  3  9  -0.9 1019 191  1.7 6  3.3  94    0    1 251 -291  0
3786500 2716500  1  3 10  -0.6 1020 207  1.3 6  3.3  94    0   22 245 -290  0
3786500 2716500  1  3 11  -0.4 1020 202  1.5 7  3.4  94    0   35 248 -292  0
3786500 2716500  1  3 12  -0.1 1020 188  1.8 7  3.5  94    0   58 252 -295  0
3786500 2716500  1  3 13   0.1 1020 214  1.8 7  3.5  94    0   55 253 -297  0
3786500 2716500  1  3 14   0.2 1019 208  2.3 7  3.6  94    0   54 253 -298  0
3786500 2716500  1  3 15   0.2 1019 203  1.5 7  3.6  94   20   71 252 -297  0
3786500 2716500  1  3 16   0.6 1019 200  1.5 8  3.6  94   11   34 257 -298  0
3786500 2716500  1  3 17   0.9 1019 212  1.3 7  3.7  93    0    0 260 -299  0
3786500 2716500  1  3 18   0.8 1019 197  1.2 7  3.7  91    0    0 259 -299  0
3786500 2716500  1  3 19   0.8 1018 199  1.8 8  3.6  91    0    0 265 -298  0
3786500 2716500  1  3 20   1.2 1018 166  1.5 8  3.6  90    0    0 272 -297  0
3786500 2716500  1  3 21   1.2 1018 158  1.7 7  3.7  89    0    0 272 -294  0
3786500 2716500  1  3 22   1.4 1018 160  1.7 8  3.7  89    0    0 272 -292  0
3786500 2716500  1  3 23   1.3 1017 172  1.5 8  3.7  88    0    0 274 -291  0
3786500 2716500  1  3 24   1.1 1017 199  1.9 8  3.7  89    0    0 274 -291  0
3786500 2716500  1  4  1   0.9 1017 211  1.7 8  3.6  90    0    0 274 -291  0
3786500 2716500  1  4  2   0.9 1017 204  1.6 7  3.7  91    0    0 273 -292  0
3786500 2716500  1  4  3   0.9 1016 206  1.7 8  3.7  91    0    0 275 -292  0
3786500 2716500  1  4  4   0.7 1016 199  1.3 8  3.7  91    0    0 277 -291  0
3786500 2716500  1  4  5   0.9 1016 183  1.8 8  3.6  91    0    0 276 -291  0
3786500 2716500  1  4  6   0.5 1015 184  2.2 7  3.6  89    0    0 272 -291  0
3786500 2716500  1  4  7   0.4 1015 188  2.5 7  3.5  88    0    0 267 -291  0
3786500 2716500  1  4  8   0.1 1015 174  2.2 7  3.3  86    0    0 265 -291  0
3786500 2716500  1  4  9  -0.6 1014 165  2.3 6  3.2  85    0    7 261 -292  0
3786500 2716500  1  4 10  -0.5 1015 162  1.9 6  3.1  84   29   36 257 -292  0
3786500 2716500  1  4 11   0.4 1015 154  2.1 6  3.1  82   33   76 256 -293  0
3786500 2716500  1  4 12   0.9 1015 165  2.2 4  3.1  78   89   91 252 -295  0
3786500 2716500  1  4 13   1.1 1014 167  2.8 3  3.0  75   84  105 247 -296  0
3786500 2716500  1  4 14   1.2 1013 175  3.2 4  3.0  72   57  102 246 -297  0
3786500 2716500  1  4 15   0.8 1013 166  3.2 6  2.9  72   22   78 247 -296  0
3786500 2716500  1  4 16   0.6 1013 162  3.1 7  2.9  72    1   28 249 -295  0
3786500 2716500  1  4 17   0.0 1013 138  3.6 7  2.8  72    0    0 250 -291  0
3786500 2716500  1  4 18  -0.4 1012 141  3.4 7  2.7  73    0    0 250 -288  0
3786500 2716500  1  4 19  -0.7 1012 133  2.8 5  2.7  75    0    0 245 -286  0
3786500 2716500  1  4 20  -1.4 1012 135  3.2 5  2.7  78    0    0 239 -284  0
3786500 2716500  1  4 21  -1.5 1012 134  3.6 4  2.7  79    0    0 234 -281  0
3786500 2716500  1  4 22  -1.9 1012 133  4.0 4  2.7  80    0    0 232 -279  0
3786500 2716500  1  4 23  -2.1 1011 132  3.9 3  2.6  80    0    0 228 -277  0
3786500 2716500  1  4 24  -2.2 1011 131  4.0 3  2.6  79    0    0 225 -275  0
3786500 2716500  1  5  1  -2.4 1011 132  4.3 3  2.6  80    0    0 225 -274  0
3786500 2716500  1  5  2  -2.7 1011 134  4.4 3  2.5  80    0    0 224 -274  0
3786500 2716500  1  5  3  -2.8 1010 137  4.6 3  2.5  80    0    0 223 -273  0
3786500 2716500  1  5  4  -3.1 1010 134  4.8 3  2.5  81    0    0 223 -273  0
3786500 2716500  1  5  5  -2.6 1010 135  5.0 4  2.5  80    0    0 227 -273  0
3786500 2716500  1  5  6  -2.6 1010 134  5.4 7  2.5  78    0    0 241 -273  0
3786500 2716500  1  5  7  -2.6 1009 135  5.2 7  2.4  78    0    0 251 -273  0
3786500 2716500  1  5  8  -2.8 1009 136  5.2 7  2.4  77    0    0 251 -274  0
3786500 2716500  1  5  9  -3.0 1008 135  5.7 7  2.3  76    0    0 250 -274  0
3786500 2716500  1  5 10  -3.0 1008 135  5.6 6  2.3  75   15   38 247 -275  0
3786500 2716500  1  5 11  -2.9 1008 136  5.7 6  2.2  73   85   64 243 -276  0
3786500 2716500  1  5 12  -2.6 1007 138  5.7 7  2.2  72   27  104 247 -279  0
3786500 2716500  1  5 13  -2.1 1007 142  5.8 7  2.2  70   25  113 252 -282  0
3786500 2716500  1  5 14  -1.7 1006 146  5.9 6  2.3  69   13   99 252 -285  0
3786500 2716500  1  5 15  -1.7 1005 137  5.4 5  2.3  68   56   75 248 -287  0
3786500 2716500  1  5 16  -1.6 1004 137  6.0 4  2.3  68   51   34 244 -288  0
3786500 2716500  1  5 17  -2.2 1003 136  5.5 4  2.3  69    0    3 242 -289  0
3786500 2716500  1  5 18  -2.2 1003 136  5.4 5  2.3  72    0    0 248 -289  0
3786500 2716500  1  5 19  -1.8 1002 136  6.1 7  2.4  73    0    0 261 -290  0
3786500 2716500  1  5 20  -1.1 1001 137  6.3 8  2.6  75    0    0 276 -293  0
3786500 2716500  1  5 21  -0.5 1000 145  5.5 8  2.7  75    0    0 285 -298  0
3786500 2716500  1  5 22   0.0  999 137  5.5 7  2.8  76    0    0 287 -304  0
3786500 2716500  1  5 23   0.6  998 135  6.1 8  3.0  76    0    0 292 -309  0
3786500 2716500  1  5 24   1.3  997 144  5.2 8  3.2  78    0    0 300 -312  0
3786500 2716500  1  6  1   1.7  996 140  4.5 7  3.4  80    0    0 301 -315  0
3786500 2716500  1  6  2   2.2  995 141  3.9 7  3.6  81    0    0 302 -318  0
3786500 2716500  1  6  3   2.1  994 146  4.7 7  3.8  84    0    0 304 -318  0
3786500 2716500  1  6  4   2.2  994 140  4.3 8  4.0  88    0    0 312 -318  0
3786500 2716500  1  6  5   2.4  993 147  3.8 8  4.1  91    0    0 320 -318  0
3786500 2716500  1  6  6   2.6  992 149  3.6 8  4.2  91    0    0 322 -318  0
3786500 2716500  1  6  7   2.7  992 153  2.3 8  4.3  92    0    0 324 -319  0
3786500 2716500  1  6  8   3.0  992 144  2.5 8  4.4  92    0    0 326 -319  0
3786500 2716500  1  6  9   3.2  993 156  2.0 8  4.5  93    0    0 328 -319  0
3786500 2716500  1  6 10   3.6  993 148  2.2 7  4.6  94    0   10 323 -319  0
3786500 2716500  1  6 11   4.0  994 143  2.7 8  4.7  93    0   20 323 -319  0
3786500 2716500  1  6 12   4.3  994 136  2.8 8  4.9  93    0   41 332 -319  0
3786500 2716500  1  6 13   5.0  993 136  2.6 7  5.0  93    0   57 321 -319  0
3786500 2716500  1  6 14   5.0  993 139  2.9 7  5.1  93    0   56 305 -318  0
3786500 2716500  1  6 15   5.2  992 137  3.7 7  5.2  93    0   38 305 -318  0
3786500 2716500  1  6 16   5.2  991 147  3.0 8  5.2  93    0   10 322 -318  0
3786500 2716500  1  6 17   5.3  991 132  3.4 7  5.3  94    0    0 324 -319  0
3786500 2716500  1  6 18   5.8  990 130  3.2 8  5.4  94    0    0 326 -319  0
3786500 2716500  1  6 19   5.8  990 151  3.4 7  5.5  94    0    0 328 -319  0
3786500 2716500  1  6 20   6.5  990 145  2.9 7  5.7  94    0    0 322 -319  0
3786500 2716500  1  6 21   7.8  990 159  2.9 7  5.9  91    0    0 325 -319  0
3786500 2716500  1  6 22   9.1  991 177  3.9 7  6.2  88    0    0 328 -319  0
3786500 2716500  1  6 23   9.2  991 191  4.8 7  6.4  86    0    0 330 -319  0
3786500 2716500  1  6 24   6.7  993  13  2.5 8  5.9  87    0    0 335 -319  0
3786500 2716500  1  7  1   4.9  995 288  1.3 8  5.2  88    0    0 337 -319  0
3786500 2716500  1  7  2   4.5  997 240  1.4 8  4.9  91    0    0 333 -319  0
3786500 2716500  1  7  3   4.0  999 206  1.2 8  4.8  91    0    0 330 -319  0
