Koordinatensystem : Lambert konform konisch
Rechtswert        : 4223500 Meter
Hochwert          : 2680500 Meter
Hoehenlage        : 487 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4223500 2680500  1  1  1  -6.0  970 249  4.5 7  2.3  87    0    0 218 -262  2
4223500 2680500  1  1  2  -7.4  970 245  4.4 6  2.0  87    0    0 216 -261  2
4223500 2680500  1  1  3  -8.1  970 244  4.9 7  1.8  87    0    0 211 -260  2
4223500 2680500  1  1  4  -7.5  970 246  6.0 7  1.9  86    0    0 214 -259  2
4223500 2680500  1  1  5  -6.7  970 252  7.2 7  2.0  87    0    0 220 -258  2
4223500 2680500  1  1  6  -5.7  970 263  9.4 7  2.2  89    0    0 222 -257  2
4223500 2680500  1  1  7  -5.0  970 269  9.1 8  2.4  90    0    0 223 -254  2
4223500 2680500  1  1  8  -4.8  970 280  9.9 8  2.5  92    0    0 226 -251  2
4223500 2680500  1  1  9  -4.2  971 277  7.6 8  2.6  93    6   11 227 -248  2
4223500 2680500  1  1 10  -3.9  972 280  5.5 8  2.8  94   48   43 228 -247  2
4223500 2680500  1  1 11  -3.4  973 274  7.7 7  2.8  94    7   78 226 -247  2
4223500 2680500  1  1 12  -3.3  974 272  8.9 8  2.9  94    0   65 231 -250  2
4223500 2680500  1  1 13  -2.5  973 270  7.9 7  2.9  92    0   67 237 -254  2
4223500 2680500  1  1 14  -2.2  973 266  7.4 6  3.0  90    0   55 236 -257  2
4223500 2680500  1  1 15  -2.1  973 264  7.3 8  3.1  92    0   41 240 -259  2
4223500 2680500  1  1 16  -2.1  973 260  5.3 8  3.1  92    0   20 245 -261  2
4223500 2680500  1  1 17  -2.3  972 262  6.2 7  3.1  92    0    0 240 -262  2
4223500 2680500  1  1 18  -2.3  972 255  7.9 6  3.0  91    0    0 232 -262  2
4223500 2680500  1  1 19  -2.7  971 262  9.0 8  3.0  90    0    0 234 -264  2
4223500 2680500  1  1 20  -2.8  971 256  9.3 7  2.9  90    0    0 236 -266  2
4223500 2680500  1  1 21  -2.6  970 264 10.1 7  2.8  86    0    0 234 -269  2
4223500 2680500  1  1 22  -2.7  970 264 10.7 8  2.7  84    0    0 237 -271  2
4223500 2680500  1  1 23  -2.8  969 268 11.4 8  2.7  84    0    0 240 -272  2
4223500 2680500  1  1 24  -2.8  969 255 10.7 7  2.7  84    0    0 238 -273  2
4223500 2680500  1  2  1  -2.8  968 258 13.3 8  2.7  84    0    0 238 -272  2
4223500 2680500  1  2  2  -2.6  967 260 13.6 8  2.8  85    0    0 241 -272  2
4223500 2680500  1  2  3  -2.6  966 267 13.0 8  2.8  85    0    0 242 -272  2
4223500 2680500  1  2  4  -2.5  966 265 10.0 8  2.8  85    0    0 245 -273  2
4223500 2680500  1  2  5  -2.5  965 272  9.0 8  2.8  86    0    0 249 -274  2
4223500 2680500  1  2  6  -2.5  965 272  8.2 8  2.9  87    0    0 253 -275  2
4223500 2680500  1  2  7  -2.4  965 274 11.5 8  3.0  90    0    0 257 -276  2
4223500 2680500  1  2  8  -2.2  965 273 10.4 8  3.1  93    0    0 262 -276  2
4223500 2680500  1  2  9  -1.6  965 282 10.0 8  3.3  95    0    7 266 -276  2
4223500 2680500  1  2 10  -1.6  966 283 11.3 8  3.4  96    0   33 270 -278  2
4223500 2680500  1  2 11  -1.6  966 284 10.7 8  3.4  96    0   42 272 -281  2
4223500 2680500  1  2 12  -1.3  967 286  8.5 8  3.4  96    0   43 275 -284  2
4223500 2680500  1  2 13  -1.4  968 289  8.4 8  3.5  96    0   53 276 -286  2
4223500 2680500  1  2 14  -1.3  968 301  7.5 6  3.4  95    0   38 267 -287  2
4223500 2680500  1  2 15  -1.4  968 318  7.0 7  3.3  92    0   43 262 -287  2
4223500 2680500  1  2 16  -2.0  969 320  5.6 6  3.1  90    5   19 261 -287  2
4223500 2680500  1  2 17  -2.1  971 341  4.2 5  2.9  84    0    0 249 -287  2
4223500 2680500  1  2 18  -4.6  972 345  4.5 6  2.5  82    0    0 245 -287  2
4223500 2680500  1  2 19  -5.4  972 353  3.9 6  2.3  85    0    0 243 -287  2
4223500 2680500  1  2 20  -6.0  973 355  3.9 5  2.2  86    0    0 235 -287  2
4223500 2680500  1  2 21  -6.5  974  14  3.8 6  2.1  87    0    0 232 -288  2
4223500 2680500  1  2 22  -6.9  975  16  3.3 5  2.1  87    0    0 230 -288  2
4223500 2680500  1  2 23  -7.3  975  13  3.1 6  2.0  88    0    0 227 -288  2
4223500 2680500  1  2 24  -7.5  975  25  3.3 6  2.0  89    0    0 228 -287  2
4223500 2680500  1  3  1  -7.4  975   7  2.7 6  2.0  91    0    0 225 -284  2
4223500 2680500  1  3  2  -7.2  975  14  2.7 7  2.1  91    0    0 223 -279  2
4223500 2680500  1  3  3  -7.7  976  27  2.3 6  2.0  91    0    0 215 -274  2
4223500 2680500  1  3  4  -7.7  977  19  2.0 7  2.0  91    0    0 207 -270  2
