Koordinatensystem : Lambert konform konisch
Rechtswert        : 3991500 Meter
Hochwert          : 2327500 Meter
Hoehenlage        : 760 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3991500 2327500  1  1  1   6.4  929 207  4.5 7  5.0  80    0    0 310 -322  2
3991500 2327500  1  1  2   5.9  929 209  4.2 7  5.4  88    0    0 306 -323  2
3991500 2327500  1  1  3   5.5  929 207  4.1 7  5.7  94    0    0 315 -323  2
3991500 2327500  1  1  4   5.9  930 205  4.1 8  5.8  93    0    0 331 -324  2
3991500 2327500  1  1  5   6.0  930 204  4.1 8  5.9  93    0    0 324 -325  2
3991500 2327500  1  1  6   5.9  930 204  4.5 8  5.9  93    0    0 325 -327  2
3991500 2327500  1  1  7   6.2  930 210  3.7 8  5.9  92    0    0 333 -328  2
3991500 2327500  1  1  8   5.9  930 202  4.2 8  5.9  93    0    0 333 -329  2
3991500 2327500  1  1  9   6.6  931 204  3.4 7  6.0  93    4   18 324 -330  2
3991500 2327500  1  1 10   6.2  931 194  4.4 8  6.0  91    3   56 323 -330  2
3991500 2327500  1  1 11   7.1  932 199  4.4 7  6.0  90    0   75 324 -332  2
3991500 2327500  1  1 12   7.5  932 202  4.0 7  6.2  89    1   98 315 -333  2
3991500 2327500  1  1 13   8.7  931 206  3.6 6  6.2  85   31  141 308 -335  2
3991500 2327500  1  1 14   9.2  931 205  3.6 6  6.2  80   45  133 301 -335  2
3991500 2327500  1  1 15   7.9  930 196  2.4 5  6.1  80   43  100 290 -336  2
3991500 2327500  1  1 16   8.0  930 191  3.0 7  5.9  82   17   50 300 -337  2
3991500 2327500  1  1 17   6.9  930 184  1.6 6  5.8  82    0    8 307 -337  2
3991500 2327500  1  1 18   5.4  930 187  2.1 5  5.6  87    0    0 284 -336  2
3991500 2327500  1  1 19   5.3  929 192  2.4 6  5.6  92    0    0 280 -335  2
3991500 2327500  1  1 20   5.6  929 179  1.8 6  5.6  92    0    0 287 -335  2
3991500 2327500  1  1 21   6.0  930 181  2.9 5  5.5  88    0    0 277 -335  2
3991500 2327500  1  1 22   6.4  930 194  2.5 4  5.4  84    0    0 256 -334  2
3991500 2327500  1  1 23   4.2  929 187  2.1 4  5.2  87    0    0 245 -331  2
3991500 2327500  1  1 24   4.6  928 208  2.2 6  5.1  89    0    0 260 -328  2
3991500 2327500  1  2  1   4.2  928 198  2.7 8  5.0  88    0    0 291 -328  2
3991500 2327500  1  2  2   6.0  927 182  2.2 8  4.9  83    0    0 308 -330  2
3991500 2327500  1  2  3   4.7  927 160  2.1 8  4.9  80    0    0 309 -330  2
3991500 2327500  1  2  4   5.1  926 172  3.6 7  4.8  82    0    0 300 -330  2
3991500 2327500  1  2  5   4.0  926 170  3.2 7  4.9  85    0    0 294 -329  2
3991500 2327500  1  2  6   5.9  926 179  2.7 7  5.0  85    0    0 295 -330  2
3991500 2327500  1  2  7   4.3  925 190  2.5 6  5.0  84    0    0 285 -330  2
3991500 2327500  1  2  8   4.2  924 179  2.4 6  4.9  86    0    0 269 -332  2
3991500 2327500  1  2  9   4.3  924 177  2.0 7  4.9  86    0   14 277 -333  2
3991500 2327500  1  2 10   3.9  923 171  2.2 7  5.0  89    4   62 291 -334  2
3991500 2327500  1  2 11   6.8  924 202  2.6 7  5.2  85    7  103 295 -335  2
3991500 2327500  1  2 12   7.7  924 194  2.3 7  5.2  75    8  128 304 -338  2
3991500 2327500  1  2 13   8.3  924 260  4.6 7  5.4  74   23  156 308 -341  2
