Koordinatensystem : Lambert konform konisch
Rechtswert        : 3991500 Meter
Hochwert          : 2327500 Meter
Hoehenlage        : 760 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3991500 2327500  1  1  1  -2.5  934 215  1.2 7  3.1  91    0    0 284 -301  1
3991500 2327500  1  1  2  -1.9  934 207  0.6 7  3.3  93    0    0 285 -301  1
3991500 2327500  1  1  3  -1.3  935 199  0.2 7  3.4  94    0    0 283 -302  1
3991500 2327500  1  1  4  -0.9  935 202  0.3 7  3.5  92    0    0 276 -304  1
3991500 2327500  1  1  5  -0.5  935 205  0.4 7  3.5  91    0    0 277 -305  1
3991500 2327500  1  1  6  -0.4  936 211  0.1 8  3.6  90    0    0 290 -307  1
3991500 2327500  1  1  7  -0.3  936 228  0.5 8  3.7  92    0    0 297 -309  1
3991500 2327500  1  1  8  -0.5  936 209  0.1 8  3.7  93    0    0 298 -311  1
3991500 2327500  1  1  9  -0.4  936 222  0.6 8  3.7  94    0   12 298 -312  1
3991500 2327500  1  1 10  -0.1  936 219  1.3 8  3.8  94    4   53 298 -313  1
3991500 2327500  1  1 11   0.7  936 217  1.4 8  3.9  93    0   55 299 -314  1
3991500 2327500  1  1 12   1.3  936 219  2.1 8  3.9  89    0   57 301 -314  1
3991500 2327500  1  1 13   1.6  936 230  2.4 7  3.9  85    3  115 297 -315  1
3991500 2327500  1  1 14   1.3  936 238  2.6 8  3.9  86    0   67 298 -315  1
3991500 2327500  1  1 15   1.5  936 223  3.4 7  4.0  88    0   52 298 -315  1
3991500 2327500  1  1 16   1.4  935 233  3.8 8  4.0  88    0   26 299 -315  1
3991500 2327500  1  1 17   1.1  936 230  3.7 8  4.0  90    0    3 306 -315  1
3991500 2327500  1  1 18   1.9  936 227  3.7 8  4.1  89    0    0 307 -315  1
3991500 2327500  1  1 19   1.3  936 222  2.8 8  4.1  89    0    0 309 -315  1
3991500 2327500  1  1 20   1.2  936 223  3.4 8  4.2  92    0    0 309 -315  1
3991500 2327500  1  1 21   0.8  936 216  3.9 7  4.2  94    0    0 303 -315  1
3991500 2327500  1  1 22   0.6  937 213  3.9 8  4.2  96    0    0 302 -315  1
3991500 2327500  1  1 23   1.0  937 210  3.9 8  4.2  96    0    0 309 -315  1
